Date,Close
12/2/19,57.41
12/3/19,57.75
12/4/19,58.9
12/5/19,59.48
12/6/19,59.95
12/9/19,61.28
12/10/19,62.09
12/11/19,62.41
12/12/19,63.94
12/13/19,63.82
12/16/19,63.5
12/17/19,64.11
12/18/19,63.15
12/19/19,62.85
12/20/19,63.51
12/23/19,63.21
12/24/19,63.16
12/26/19,63.96
12/27/19,64.14
12/30/19,63.73
12/31/19,64.19
1/2/20,63.34
1/3/20,62.78
1/6/20,62.98
1/7/20,63.93
1/8/20,63.86
1/9/20,65.45
1/10/20,65.23
1/13/20,66.15
1/14/20,66.44
1/15/20,66.58
1/16/20,66.78
1/17/20,66.72
1/21/20,67.43
1/22/20,67.43
1/23/20,66.87
1/24/20,64.16
1/27/20,63.7
1/28/20,64.81
1/29/20,64.14
1/30/20,63.81
1/31/20,62.95
2/3/20,63.58
2/4/20,64.29
2/5/20,65.59
2/6/20,67.1
2/7/20,66.25
2/10/20,66.91
2/11/20,66.99
2/12/20,67
2/13/20,66.08
2/14/20,66.38
2/18/20,66.07
2/19/20,65.71
2/20/20,65.17
2/21/20,65.63
2/24/20,63.97
2/25/20,62.14
2/26/20,62.04
2/27/20,59.58
2/28/20,59.06
3/2/20,60.34
3/3/20,59.2
3/4/20,61.48
3/5/20,60.5
3/6/20,60.31
3/9/20,57.66
3/10/20,57.93
3/11/20,56.51
3/12/20,52.75
3/13/20,54.99
3/16/20,51.11
3/17/20,54.09
3/18/20,50.24
3/19/20,48.79
3/20/20,48.4
3/23/20,46.4
